Name,Bundesland,Schultyp,Kategorien,email_encoded,,
Grund- und Regionalschule Anna Siemsen & Johannes Kepler ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Schule am Meer Grund- und Gemeinschaftsschule der Hansestadt Lübeck,Schleswig-Holstein,Öffentlich, Grundschulen  Regionalschulen  Gemeinschaftsschulen  Sekundarschulen ,1,,
Alte Stadtschule ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Carl-Jacob-Burckhardt-Gymnasium UNESCO-Projektschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Ernestinenschule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Johanneum zu Lübeck Gymnasium für Jungen und Mädchen,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Katharineum zu Lübeck ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Oberschule zum Dom Gymnasium und Abendgym. der Hansestadt Lübeck,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Thomas-Mann-Schule Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Trave-Gymnasium ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Heinrich-Mann-Schule Grund- und Gemeinschaftsschule der Hansestadt Lübeck,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen  Regelschulen  ,1,,
St. Jürgen Grund- und Gemeinschaftsschule ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Julius-Leber-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen ,1,,
Emanuel-Geibel-Schule Gemeinschaftsschule der Hansestadt Lübeck,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Schule Tremser Teich Grund- und Gemeinschaftsschule,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Trave-Gemeinschaftsschule ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Holstentor-Gemeinschaftsschule ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Albert-Schweitzer-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen ,1,,
Willy-Brandt-Schule Grund- und Gemeinschaftsschule der Hansestadt Lübeck,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen ,1,,
Baltic-Schule Grund- und Gemeinschaftsschule mit gymnasialer Oberstufe,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Geschwister-Prenski-Schule Gemeinschaftsschule mit Oberstufe,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Berend-Schröder-Schule FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Strakerjahn-Schule Förderzentrum Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Anton-Schilling-Schule Sprachheilgrundschule,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Matthias-Leithoff-Schule FöZ körperliche und motorische Entw.,Schleswig-Holstein,Öffentlich, Förderschulen  Förderzentrum ,1,,
Schule Wilhelmshöhe FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Maria-Montessori-Schule FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Grundschule Faldera ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Gadeland ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Gartenstadtschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Johann-Hinrich-Fehrs-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Mühlenhofschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Rudolf-Tonner-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Timm-Kröger-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Uker Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Vicelinschule Schule im Stadtteil,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Wittorf ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Wilhelm-Tanck-Schule Regionalschule,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Helene-Lange-Schule Regionalschule ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Grund- und Regionalschule Pestalozzischule ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Grund- und Regionalschule Einfeld ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Holstenschule Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Immanuel-Kant-Schule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Klaus-Groth-Schule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Alexander-von-Humboldt-Schule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Freiherr-vom-Stein-Schule Gemeinschaftsschule der Stadt Neumünster,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Hans-Böckler-Schule Grund- und Gemeinschaftsschule der Stadt Neumünster,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen ,1,,
Gemeinschaftsschule Neumünster-Brachenfeld mit gymnasialer Oberstufe,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Gemeinschaftsschule mit Oberstufe Faldera ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Gustav-Hansen-Schule FöZ mit dem Schwerpunkt Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Wichernschule FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Fröbelschule FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Wulf-Isebrand-Schule Albersdorf-Bunsoh-Schafstedt,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Bargenstedt ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule West Brunsbüttel,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Boy-Lornsen-Grundschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Buchholz-Kuden ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Burg ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Kampschule Grundschule Eddelak,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Elpersbüttel-Barlt ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Friedrichskoog ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Lüttenheid ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Schulen am Moor ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule des Grundschulträgerverbandes Heider Umland in Hemmingstedt,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Marschenschool Grundschule des Amtes Marne-Nordsee in Kronprinzenkoog,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Meldorf ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Maria-Jessen-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Fief-Dörper-School ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Weddingstedt ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Wesselburen mit Außenstelle Neuenkirchen,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Wesseln ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Eiderschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
St.-Georg-Schule Heide,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Klaus-Groth-Schule Grund- und Gemeinschaftsschule der Stadt Heide,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen  Regelschulen  ,1,,
Grund- und Regionalschule Marne ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Regionalschule Brunsbüttel ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Grund- und Gemeinschaftsschule des Amtes Burg - St. Michaelisdonn in St. Michaelisdonn,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen ,1,,
Regionalschule am Brutkamp ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Friedrich-Hebbel-Schule Regionalschule des Schulverbandes Wesselburen,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Schule am Meer Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Werner-Heisenberg-Gymnasium ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Gymnasium Marne Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Meldorfer Gelehrtenschule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Gymnasium Heide-Ost Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Gymnasium Brunsbüttel ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Gemeinschaftsschule am Hamberg ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Gemeinschaftsschule Heide-Ost mit DaZ-Zentrum,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen  Sekundarschulen  Regelschulen  ,1,,
Gemeinschaftsschule Meldorf ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Grund- und Gemeinschaftsschule Tellingstedt ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Eiderlandschule ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Förderzentrum Dithmarschen-Süd ,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Friedrich-Elvers-Schule - EUROPASCHULE - FöZ mit dem Schwerpunkt Lernen mit Außenstellen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Christian - Bütje - Schule Meldorf mit Außenstelle Carsten-Niebuhr-Schule Albersdorf,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Astrid-Lindgren-Schule FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Dalbek-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule des Amtes Breitenfelde ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Büchen ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Alfried-Otto-Schule Grundschule Dassendorf,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grüppental-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Silberberg ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Waldschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Waldschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Weingartenschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Lütau ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Till-Eulenspiegel-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Müssen ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule des Amtes Sandesneben/Nusse in Nusse Dörfergemeinschaftsschule,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule des Schulverbandes Ratzeburg in Ratzeburg mit Außenstelle Vorstadt,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Kuddewörde ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Sterley ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Wohltorf ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Tanneck ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Wentorf ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Fürstin-Ann-Mari-von-Bismarck-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grund- und Regionalschule Buntenskamp ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Grund- und Regionalschule Schwarzenbek-Nordost ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Regionalschule Wentorf - Die Schule im Grűnen,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Otto-Hahn-Gymnasium Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Lauenburgische Gelehrtenschule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Gymnasium Schwarzenbek Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Gymnasium Wentorf ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Marion-Dönhoff-Gymnasium Mölln ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Grund- und Gemeinschaftsschule Stecknitz ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Gemeinschaftsschule Büchen ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Albinus-Gemeinschaftsschule Lauenburg mit Förderzentrumsteil,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Grund- und Gemeinschaftsschule Sandesneben mit Förderschulteil,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Gemeinschaftsschule der Stadt Mölln in Mölln ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Grund- und Gemeinschaftsschule der Stadt Schwarzenbek ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Gemeinschaftsschule Lauenburgische Seen,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Grund- und Gemeinschaftsschule Geesthacht ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Alfred-Nobel-Schule Gemeinschaftschule mit gymnasialer Oberstufe Geesthacht,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Förderschule Geesthacht FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderschulen  Förderzentrum ,1,,
Astrid-Lindgren-Schule FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Pestalozzischule FöZ,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Centa-Wulf-Schule FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Landesförderzentrum Sprache ,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Hachede-Schule FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Schule Steinfeld FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Grundschule Achtrup Betreute Grundschule,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Horstedt ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Bordelum ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Breklum-Bredstedt-Bordelum,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Luettschool Drelsdorf-Joldelund ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Schule an der Treene Grundschule mit Förderzentrumsteil,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Haselund ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Jens-Iwersen-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Bürgerschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Klaus-Groth-Schule Husum mit Außenstelle Schobüll,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Iven-Agssen-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Klixbüll ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Ladelund ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Friedrich-Paulsen-Schule Grundschule des Schulverbandes Mittleres Nordfriesland,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
"Grundschule an der Linde, Leck / Enge-Sande ",Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Alwin-Lensch-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Otto-Thiesen-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Oster-Ohrstedt ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Rantrum ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Nis-Albrecht-Johannsen-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Risum ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
"Utholm-Schule Grundschule und Förderzentrum, Förderschwerpunkt Lernen",Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Herzog-Ulrich-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Föhr-Land mit Außenstelle Midlum,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Süderlügum ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Boy-Lornsen-Schule Offene Ganztagsschule Tinnum,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Schule am Ostertor Grundschule mit Förderzentrumsteil der Stadt Tönning,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Norddörferschule Grundschule Wenningstedt/Braderup,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule mit Förderzentrumsteil St. Nicolai Grundschule mit Förderzentrumsteil der Gemeinde Sylt in Sylt,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Am Nordkamp mit Primarhaus Morsum Grundschule der Gemeinde Sylt auf Sylt,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Witzwort ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Rüm-Hart-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Theodor-Mommsen-Schule Grundschule des Schulverbandes Eiderstedt,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grund- und Regionalschule Breklum ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Grund- und Regionalschule Hallig Hooge ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Eugen-Träger-Schule ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Grund- und Reginalschule Nordstrandischmoor ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Halligschule Oland ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Herrendeichschule Grund- und Regionalschule,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Grund- und Regionalschule Mildstedt ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Regionalschule Niebüll im Schul- und Bildungszentrum,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Emil-Nolde-Schule Grund- und Gemeinschaftsschule,Schleswig-Holstein,Öffentlich, Grundschulen  Regionalschulen  Hauptschulen  Realschulen  Gesamtschulen  Gemeinschaftsschulen ,1,,
Öömrang Skuul Grund- u. Regionalschule m. Förderzentrumsteil d. Amtes Föhr,Schleswig-Holstein,Öffentlich, Grundschulen  Regionalschulen  Förderschulen ,1,,
Hermann-Neuton-Paulsen-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen ,1,,
Hermann-Tast-Schule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Theodor-Storm-Schule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Friedrich-Paulsen-Schule Gymnasium des Amtes Südtondern,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Nordseeschule Gymnasium mit Regionalschulteil Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Schulzentrum Sylt Gymnasium und Regionalschule Sylt,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Eilun Feer Skuul Gymnasium und Regionalschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Ferdinand-Tönnies-Schule Gemeinschaftsschule Husum,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Gemeinschaftsschule Husum Nord ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Grund- und Gemeinschaftsschule Viöl ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Gemeinschaftsschule des Schulverbandes Mittleres Nordfriesland,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Eider-Treene-Schule Gemeinschaftsschule Tönning mit Außenstelle Friedrichsstadt,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen  Gymnasiale Oberstufe ,1,,
Gemeinschaftsschule an der Lecker Au ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Hauke-Haien-Schule FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
"Pestalozzi-Schule Husum, Förderzentrum Lernen",Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Förderzentrum Südtondern,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Drei-Harden-Schule FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Rungholtschule FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Carl-Ludwig-Jessen-Schule FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Grundschule Bad Schwartau ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Cleverbrück ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule der Stadt Fehmarn in Burg mit Außenstelle in Petersdorf,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Gustav-Peters-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Grube ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Oldenburg-Land ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule mit Förderzentrumsteil der Stadt Heiligenhafen und der Gemeinde Großenbrode in Heiligenhafen,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Landkirchen auf Fehmarn ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Malente ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Steinkamp-Grundschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule am Wasserquell ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Pansdorf ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Grömitz ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Ostsee-Grundschule Scharbeutz ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Friedrich-Hiller-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Achim-Bröger-Schule Grundschule Sereetz,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Sieversdorf ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Gerhart-Hauptmann-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Ravensbusch ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Süsel ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Techau ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Erich Kästner-Grundschule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grund- und Regionalschule Ratekau ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Grund- und Gemeinschaftsschule der Gemeinde Timmendorfer Strand,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen ,1,,
Regionalschule in Grömitz ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Heinrich-Harms-Schule Hutzfeld Regionalschule mit Grundschulteil,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Regionalschule Heiligenhafen ,Schleswig-Holstein,Öffentlich, Regionalschulen ,1,,
Carl-Maria-von-Weber-Schule Europaschule,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Johann-Heinrich-Voß-Schule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Küstengymnasium Neustadt ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Freiherr-vom-Stein-Schule ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Leibniz-Gymnasium ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Ostsee-Gymnasium ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Gymnasium am Mühlenberg ,Schleswig-Holstein,Öffentlich, Gymnasien ,1,,
Inselschule Fehmarn Gemeinschaftsschule mit gymnasialer Oberstufe und Förderzentrumsteil,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Grund- und Gemeinschaftsschule der Gemeinde Scharbeutz in Pönitz,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Arnesboken-Schule Grund- und Gemeinschaftsschule mit Förderzentrum der Gemeinde Ahrensbök,Schleswig-Holstein,Öffentlich, Grundschulen  Gemeinschaftsschulen  Förderzentrum ,1,,
Grund- und Gemeinschaftsschule des Amtes Lensahn ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
"Gerhard-Hilgendorf-Schule, Gemeinschaftsschule der Gemeinde Stockelsdorf",Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Wagrienschule Grund- und Gemeinschaftsschule mit Förderzentrumsteil,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Elisabeth-Selbert-Gemeinschaftsschule ,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Schule an den Auewiesen Gemeinschaftsschule,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Wilhelm-Wisser-Schule Gemeinschaftsschule Eutin,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Jacob-Linau-Schule Gemeinschaftsschule der Stadt Neustadt in Holstein,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
César-Klein-Schule Gemeinschaftsschule mit gymnasialer Oberstufe,Schleswig-Holstein,Öffentlich, Gemeinschaftsschulen ,1,,
Schule Am Hochkamp FöZ mit dem Förderschwerpunkt Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Albert-Mahlstedt-Schule FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Schule am Rosengarten FöZ Lernen,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Schule am Papenmoor FöZ geistige Entw.,Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
"Kastanienhof Förderzentrum FöZ geistige, körperliche und motorische Entw.",Schleswig-Holstein,Öffentlich, Förderzentrum ,1,,
Grundschule Appen ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Bönningstedt ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Borstel-Hohenraden ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Hermann-Löns-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Friedrich-Ebert-Schule ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Hafenstraße ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Hainholz ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
Grundschule Kaltenweide ,Schleswig-Holstein,Öffentlich, Grundschulen ,1,,
