Name,Bundesland,Schultyp,Kategorien,email_encoded,,
Bolbergschule Grundschule Sonnenbühl-Willmandingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Nachbarschaftsgrundschule Lonsingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Hauptschule mit Werkrealschule Würtingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Theodor-Heuss-Schule Grundschule Mägerkingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Steinhilben,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Werdenbergschule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Römerwegschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Gustav-Werner-Schule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
"Graf-Eberhard-Schule Grund-, Werkreal- und Realschule Kirchentellinsfurt Außenstelle Werkrealschule",Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Uhlandschule Wannweil Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
"Münsterschule Grund-, Hauptschule mit Werkrealschule und Realschule",Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grund- und Werkrealschule Altingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grund- und Hauptschule Entringen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grund- und Hauptschule Entringen Aussenstelle Grundschule Breitenholz,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Pfäffingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Poltringen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Steinäcker-Schule Grund- und Hauptschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Schönbuchschule Grund- und Hauptschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Anne-Frank-Schule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Schloß-Schule Grund- und Werkrealschule Außenstelle Grundschule Hinterweiler,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Hirrlingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Joachim-Schäfer-Schule Grund- und Werkrealschule Außenstelle Werkrealschule Hirrlingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
"Graf-Eberhard-Schule Grund-, Werkreal- und Realschule",Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
August-Lämmle-Schule Grundschule,--,--,--,0,,
Härtenschule Grundschule Mähringen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Gottlieb-Rühle-Schule Grund- und Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Gottlieb-Rühle-Schule Grund- und Werkrealschule Mössingen Außenstelle Langgass-Grund,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Bästenhardt-Schule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Bästenhardt-Schule Grund- und Hauptschule mit Werkrealschule Mössingen Außenstelle Grundschule Oberd,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Filsenbergschule Grund- und Hauptschule Öschingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Andeckschule Grund- und Hauptschule Talheim,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Kirschenfeldschule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Neustetten,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Neustetten Außenstelle Wolfenhausen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Burghof-Schule Grund- und Hauptschule mit Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Hohenbergschule Grund- und Werkrealschule Außenstelle Werkrealschule Kiebingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Dettingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
